location,date,total_deaths_per_million,,,,,,,,,,,,
Luxembourg,10/9/2022,1756.551,,,,,,,,,,,,
,,,,,,,,,,,,,,
Madagascar,10/9/2022,48.763,,,,,,,,,,,,
Malawi,10/9/2022,134.693,,,,,,,,,,,,
Malaysia,10/9/2022,1080.513,,,,,,,,,,,,
Maldives,10/9/2022,590.652,,,,,,,,,,,,
Mali,10/9/2022,33.737,,,,,,,,,,,,
Malta,10/9/2022,1522.55,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mauritania,10/9/2022,215.169,,,,,,,,,,,,
Mauritius,10/9/2022,787.58,,,,,,,,,,,,
Mexico,10/9/2022,2602.389,,,,,,,,,,,,
,,,,,,,,,,,,,,
Moldova,10/9/2022,3848.759,,,,,,,,,,,,
Monaco,10/9/2022,1717.276,,,,,,,,,,,,
Mongolia,10/9/2022,635.943,,,,,,,,,,,,
Montenegro,10/9/2022,4424.56,,,,,,,,,,,,
,,,,,,,,,,,,,,
Morocco,10/9/2022,438.983,,,,,,,,,,,,
Mozambique,10/9/2022,69.239,,,,,,,,,,,,
Myanmar,10/9/2022,361.388,,,,,,,,,,,,
Namibia,10/9/2022,1611.366,,,,,,,,,,,,
Nepal,10/9/2022,399.934,,,,,,,,,,,,
Netherlands,10/9/2022,1297.017,,,,,,,,,,,,
New Caledonia,10/9/2022,1091.035,,,,,,,,,,,,
New Zealand,10/9/2022,380.137,,,,,,,,,,,,
Nicaragua,10/9/2022,35.618,,,,,,,,,,,,
Niger,10/9/2022,12.355,,,,,,,,,,,,
Nigeria,10/9/2022,14.78,,,,,,,,,,,,
North Korea,10/9/2022,0.231,,,,,,,,,,,,
North Macedonia,10/9/2022,4519.5,,,,,,,,,,,,
Norway,10/9/2022,741.067,,,,,,,,,,,,
,,,,,,,,,,,,,,
Oman,10/9/2022,1023.787,,,,,,,,,,,,
Pakistan,10/9/2022,132.233,,,,,,,,,,,,
,,,,,,,,,,,,,,
Palestine,10/9/2022,1111.546,,,,,,,,,,,,
Panama,10/9/2022,1948.858,,,,,,,,,,,,
Papua New Guinea,10/9/2022,66.737,,,,,,,,,,,,
Paraguay,10/9/2022,2913.274,,,,,,,,,,,,
Peru,10/9/2022,6409.105,,,,,,,,,,,,
Philippines,10/9/2022,546.96,,,,,,,,,,,,
Poland,10/9/2022,3060.792,,,,,,,,,,,,
Portugal,10/9/2022,2420.675,,,,,,,,,,,,
Qatar,10/9/2022,253.698,,,,,,,,,,,,
Romania,10/9/2022,3458.561,,,,,,,,,,,,
Russia,10/9/2022,2601.343,,,,,,,,,,,,
Rwanda,10/9/2022,108.9,,,,,,,,,,,,
,,,,,,,,,,,,,,
Saint Kitts and Nevis,10/9/2022,966.265,,,,,,,,,,,,
Saint Lucia,10/9/2022,2176.43,,,,,,,,,,,,
,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,10/9/2022,1102.251,,,,,,,,,,,,
Samoa,10/9/2022,132.563,,,,,,,,,,,,
San Marino,10/9/2022,3496.711,,,,,,,,,,,,
Sao Tome and Principe,10/9/2022,340.644,,,,,,,,,,,,
Saudi Arabia,10/9/2022,259.107,,,,,,,,,,,,
Senegal,10/9/2022,116.61,,,,,,,,,,,,
Serbia,10/9/2022,2446.174,,,,,,,,,,,,
Seychelles,10/9/2022,1587.302,,,,,,,,,,,,
Sierra Leone,10/9/2022,14.963,,,,,,,,,,,,
Singapore,10/9/2022,293.751,,,,,,,,,,,,
Slovakia,10/9/2022,3714.648,,,,,,,,,,,,
Slovenia,10/9/2022,3204.665,,,,,,,,,,,,
Solomon Is.,10/9/2022,216.147,,,,,,,,,,,,
Somalia,10/9/2022,79.751,,,,,,,,,,,,
South Africa,10/9/2022,1719.568,,,,,,,,,,,,
South Korea,10/9/2022,530.116,,,,,,,,,,,,
South Sudan,10/9/2022,12.839,,,,,,,,,,,,
Spain,10/9/2022,2382.339,,,,,,,,,,,,
Sri Lanka,10/9/2022,768.23,,,,,,,,,,,,
Sudan,10/9/2022,108.658,,,,,,,,,,,,
Suriname,10/9/2022,2257.808,,,,,,,,,,,,
Sweden,10/9/2022,1911.323,,,,,,,,,,,,
Switzerland,10/9/2022,1609.291,,,,,,,,,,,,
Syria,10/9/2022,148.328,,,,,,,,,,,,
Taiwan,10/9/2022,429.8,,,,,,,,,,,,
Tajikistan,10/9/2022,12.82,,,,,,,,,,,,
Tanzania,10/9/2022,13.289,,,,,,,,,,,,
Thailand,10/9/2022,454.448,,,,,,,,,,,,
Timor-Leste,10/9/2022,104.471,,,,,,,,,,,,
Togo,10/9/2022,32.852,,,,,,,,,,,,
Trinidad and Tobago,10/9/2022,2731.927,,,,,,,,,,,,
Tunisia,10/9/2022,2384.256,,,,,,,,,,,,
Turkey,10/9/2022,1189.496,,,,,,,,,,,,
Turks and Caicos Islands,10/9/2022,797.978,,,,,,,,,,,,
Uganda,10/9/2022,79.121,,,,,,,,,,,,
Ukraine,10/9/2022,2680.478,,,,,,,,,,,,
United Arab Emirates,10/9/2022,250.076,,,,,,,,,,,,
United Kingdom,10/9/2022,3057.592,,,,,,,,,,,,
United States of America,10/9/2022,3116.693,,,,,,,,,,,,
Uruguay,10/9/2022,2175.842,,,,,,,,,,,,
Uzbekistan,10/9/2022,48.032,,,,,,,,,,,,
Vanuatu,10/9/2022,43.868,,,,,,,,,,,,
Venezuela,10/9/2022,205.923,,,,,,,,,,,,
Vietnam,10/9/2022,442.463,,,,,,,,,,,,
Yemen,10/9/2022,65.339,,,,,,,,,,,,
Zambia,10/9/2022,206.284,,,,,,,,,,,,
Zimbabwe,10/9/2022,349.892,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
